,en,fr,en_c,fr_c
0,resumption of the session,START_ reprise de la session _END,4,6
1,i declare resumed the session of the european parliament adjourned on friday 17 december 1999 and i would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period,START_ je déclare reprise la session du parlement européen qui avait été interrompue le vendredi 17 décembre dernier et je vous renouvelle tous mes vux en espérant que vous avez passé de bonnes vacances _END,38,35
2,although as you will have seen the dreaded 'millennium bug' failed to materialise still the people in a number of countries suffered a series of natural disasters that truly were dreadful,START_ comme vous avez pu le constater le grand bogue de l'an 2000 ne s'est pas produit en revanche les citoyens d'un certain nombre de nos pays ont été victimes de catastrophes naturelles qui ont vraiment été terribles _END,31,39
3,you have requested a debate on this subject in the course of the next few days during this part-session,START_ vous avez souhaité un débat à ce sujet dans les prochains jours au cours de cette période de session _END,19,21
4,in the meantime i should like to observe a minute' s silence as a number of members have requested on behalf of all the victims concerned particularly those of the terrible storms in the various countries of the european union,START_ en attendant je souhaiterais comme un certain nombre de collègues me l'ont demandé que nous observions une minute de silence pour toutes les victimes des tempêtes notamment dans les différents pays de l'union européenne qui ont été touchés _END,40,40
5,please rise then for this minute' s silence,START_ je vous invite à vous lever pour cette minute de silence _END,8,13
6,the house rose and observed a minute' s silence,START_ le parlement debout observe une minute de silence _END,9,10
7,madam president on a point of order,START_ madame la présidente c'est une motion de procédure _END,7,10
8,you will be aware from the press and television that there have been a number of bomb explosions and killings in sri lanka,START_ vous avez probablement appris par la presse et par la télévision que plusieurs attentats à la bombe et crimes ont été perpétrés au sri lanka _END,23,27
9,one of the people assassinated very recently in sri lanka was mr kumar ponnambalam who had visited the european parliament just a few months ago,START_ l'une des personnes qui vient d'être assassinée au sri lanka est m kumar ponnambalam qui avait rendu visite au parlement européen il y a quelques mois à peine _END,25,30
10,would it be appropriate for you madam president to write a letter to the sri lankan president expressing parliament's regret at his and the other violent deaths in sri lanka and urging her to do everything she possibly can to seek a peaceful reconciliation to a very difficult situation,START_ ne pensez-vous pas madame la présidente qu'il conviendrait d'écrire une lettre au président du sri lanka pour lui communiquer que le parlement déplore les morts violentes dont celle de m ponnambalam et pour l'inviter instamment à faire tout ce qui est en son pouvoir pour chercher une réconciliation pacifique et mettre un terme à cette situation particulièrement difficile _END,49,60
11,yes mr evans i feel an initiative of the type you have just suggested would be entirely appropriate,START_ oui monsieur evans je pense qu'une initiative dans le sens que vous venez de suggérer serait tout à fait appropriée _END,18,22
12,if the house agrees i shall do as mr evans has suggested,START_ si l'assemblée en est d'accord je ferai comme m evans l'a suggéré _END,12,14
13,madam president on a point of order,START_ madame la présidente c'est une motion de procédure _END,7,10
14,i would like your advice about rule 143 concerning inadmissibility,START_ je voudrais vous demander un conseil au sujet de l'article 143 qui concerne l'irrecevabilité _END,10,16
15,my question relates to something that will come up on thursday and which i will then raise again,START_ ma question porte sur un sujet qui est à l'ordre du jour du jeudi et que je soulèverai donc une nouvelle fois _END,18,24
16,the cunha report on multiannual guidance programmes comes before parliament on thursday and contains a proposal in paragraph 6 that a form of quota penalties should be introduced for countries which fail to meet their fleet reduction targets annually,START_ le paragraphe 6 du rapport cunha sur les programmes d'orientation pluriannuels qui sera soumis au parlement ce jeudi propose d'introduire des sanctions applicables aux pays qui ne respectent pas les objectifs annuels de réduction de leur flotte _END,39,39
17,it says that this should be done despite the principle of relative stability,START_ il précise que cela devrait être fait malgré le principe de stabilité relative _END,13,15
18,i believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a proposal to subvert it would be legally inadmissible,START_ à mon sens le principe de stabilité relative est un principe juridique fondamental de la politique commune de la pêche et toute proposition le bouleversant serait juridiquement irrecevable _END,28,30
19,i want to know whether one can raise an objection of that kind to what is merely a report not a legislative proposal and whether that is something i can competently do on thursday,START_ je voudrais savoir si l'on peut avancer une objection de ce type à ce qui n'est qu'un rapport pas une proposition législative et si je suis habilité à le faire ce jeudi _END,34,34
20,that is precisely the time when you may if you wish raise this question ie on thursday prior to the start of the presentation of the report,START_ c'est exactement à ce moment-là que vous pourrez en effet si vous le souhaitez soulever cette question c'est-à-dire jeudi avant le début de la présentation du rapport _END,27,29
21,madam president coinciding with this year' s first part-session of the european parliament a date has been set unfortunately for next thursday in texas in america for the execution of a young 34 year-old man who has been sentenced to death we shall call him mr hicks,START_ madame la présidente alors que se déroule la première session de l'année du parlement européen l'exécution d'un condamné à mort au texas aux états-unis un jeune homme de 34 ans appelé hicks a été fixée malheureusement à jeudi prochain _END,47,41
22,at the request of a french member mr zimeray a petition has already been presented which many people signed including myself,START_ à la demande d'un député français monsieur zimeray une pétition a déjà été introduite  elle a récolté de nombreuses signatures dont la mienne _END,21,25
23,however i would ask you in accordance with the line which is now constantly followed by the european parliament and by the whole of the european community to make representations using the weight of your prestigious office and the institution you represent to the president and to the governor of texas mr bush who has the power to order a stay of execution and to reprieve the condemned person,START_ cependant je vous demande conformément à l'orientation désormais constamment exprimée par le parlement européen et toute la communauté européenne d'intervenir auprès du président et du gouverneur du texas monsieur bush en faisant jouer le prestige de votre mandat et de l'institution que vous représentez car c'est monsieur bush qui a le pouvoir de suspendre la condamnation à mort et de gracier le condamné _END,69,65
24,this is all in accordance with the principles that we have always upheld,START_ et tout ceci dans le respect des principes que nous avons toujours soutenus _END,13,15
25,thank you mr segni i shall do so gladly,START_ merci monsieur segni je le ferai bien volontiers _END,9,10
26,indeed it is quite in keeping with the positions this house has always adopted,START_ c'est en effet tout à fait dans la ligne des positions que notre parlement a toujours adoptées _END,14,19
27,madam president i should like to draw your attention to a case in which this parliament has consistently shown an interest,START_ madame la présidente je voudrais attirer votre attention sur un cas dont s'est régulièrement occupé le parlement _END,21,19
28,it is the case of alexander nikitin,START_ il s'agit du cas d'alexandre nikitin _END,7,8
29,all of us here are pleased that the courts have acquitted him and made it clear that in russia too access to environmental information is a constitutional right,START_ nous nous réjouissons tous dans cette enceinte que le tribunal ait prononcé sa libération et ait clairement établi qu'en russie aussi l'accès aux informations environnementales était un droit constitutionnel _END,28,31
30,now however he is to go before the courts once more because the public prosecutor is appealing,START_ cependant il se fait qu'il semblerait être à nouveau mis en accusation le ministère public ayant interjeté appel _END,17,20
31,we know and we have stated as much in very many resolutions indeed including specifically during the last plenary part-session of last year that this is not solely a legal case and that it is wrong for alexander nikitin to be accused of criminal activity and treason because of our involvement as the beneficiaries of his findings,START_ nous savons et nous l'avons d'ailleurs établi dans de très nombreuses résolutions - y compris lors de la dernière période de session de l'année dernière - que ce cas n'est pas seulement de nature juridique et qu'il est faux d'accuser alexandre nikitin d'activité criminelle et de trahison car nous sommes concernés par ses résultats et nous en profitons _END,57,60
32,these findings form the basis of the european programmes to protect the barents sea and that is why i would ask you to examine a draft letter setting out the most important facts and to make parliament's position as expressed in the resolutions which it has adopted clear as far as russia is concerned,START_ ces résultats forment la base des programmes européens de protection de la mer de barents et c'est pourquoi je vous prie d'examiner un projet de lettre vous dépeignant les faits essentiels de cette affaire et de communiquer à la russie la position qui découle des décisions du parlement _END,54,50
33,yes mrs schroedter i shall be pleased to look into the facts of this case when i have received your letter,START_ oui madame schroedter j'examinerai bien volontiers les faits relatifs à cette question lorsque j'aurai reçu votre lettre _END,21,19
34,madam president i would firstly like to compliment you on the fact that you have kept your word and that during this first part-session of the new year the number of television channels in our offices has indeed increased considerably,START_ madame la présidente je voudrais tout d'abord vous féliciter pour avoir tenu parole car en effet en cette première période de session en cette nouvelle année le nombre de chaînes de télévision a réellement été augmenté de manière significative dans nos locaux _END,40,44
35,but madam president my personal request has not been met,START_ toutefois madame la présidente ce que j'avais demandé n'a pas été réalisé _END,10,14
36,although there are now two finnish channels and one portuguese one there is still no dutch channel which is what i had requested because dutch people here like to be able to follow the news too when we are sent to this place of exile every month,START_ il y a bien deux chaînes finnoises et une chaîne portugaise mais il n'y a toujours aucune chaîne néerlandaise pourtant je vous avais demandé une chaîne néerlandaise car les néerlandais aussi désirent pouvoir suivre les actualités chaque mois lorsqu'ils sont envoyés en cette terre d'exil _END,47,47
37,i would therefore once more ask you to ensure that we get a dutch channel as well,START_ je vous demande donc à nouveau de faire le nécessaire pour que nous puissions disposer d'une chaîne néerlandaise _END,17,20
38,mrs plooij-van gorsel i can tell you that this matter is on the agenda for the quaestors' meeting on wednesday,START_ madame plooij-van gorsel je peux vous dire que cette question est à l'ordre du jour de la réunion des questeurs de mercredi _END,20,24
39,it will i hope be examined in a positive light,START_ elle sera je l'espère examinée dans un esprit positif _END,10,11
40,madam president can you tell me why this parliament does not adhere to the health and safety legislation that it actually passes,START_ madame la présidente comment se fait-il que le parlement ne se conforme pas à la réglementation en matière de santé et de sécurité qu'il vote  _END,22,27
41,why has no air quality test been done on this particular building since we were elected,START_ comment se fait-il qu'aucun test de qualité de l'air n'ait été réalisé dans ce bâtiment depuis notre élection  _END,16,20
42,why has there been no health and safety committee meeting since 1998,START_ comment se fait-il que le comité de santé et d'hygiène ne se soit plus réuni depuis 1998  _END,12,19
43,why has there been no fire drill either in the brussels parliament buildings or the strasbourg parliament buildings,START_ comment se fait-il que nous n'ayons jamais fait d'exercice d'évacuation dans les bâtiments du parlement de bruxelles et de strasbourg  _END,18,22
44,why are there no fire instructions,START_ comment se fait-il qu'il n'y ait pas de consignes en cas d'incendie  _END,6,14
45,why have the staircases not been improved since my accident,START_ comment se fait-il que les escaliers n'aient pas été améliorés depuis mon accident  _END,10,15
46,why are no-smoking areas not enforced,START_ comment se fait-il que l'on ne respecte pas les zones non fumeurs  _END,6,14
47,it seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves,START_ nous votons des réglementations et nous ne nous y conformons même pas c'est scandaleux _END,15,16
48,mrs lynne you are quite right and i shall check whether this has actually not been done,START_ madame lynne vous avez parfaitement raison et je vais vérifier si tout cela n' a effectivement pas été fait _END,17,21
49,i shall also refer the matter to the college of quaestors and i am certain that they will be keen to ensure that we comply with the regulations we ourselves vote on,START_ je vais soumettre également le problème au collège des questeurs et je suis certaine que nos questeurs auront à cur de faire en sorte que nous respections la réglementation qu' en effet nous votons _END,32,36
50,madam president mrs díez gonzález and i had tabled questions on certain opinions of the vice-president mrs de palacio which appeared in a spanish newspaper,START_ madame la présidente mme díez gonzález et moi-même avions présenté quelques questions sur certaines opinions exprimées par la vice-présidente mme de palacio et publiées dans un journal espagnol _END,25,30
51,the competent services have not included them in the agenda on the grounds that they had been answered in a previous part-session,START_ les services compétents ne les ont pas inclues à l'ordre du jour avançant que des réponses avaient déjà été apportées lors d'une précédente session _END,22,26
52,i would ask that they reconsider since this is not the case,START_ je demande que cette décision soit reconsidérée car ce n'est pas le cas _END,12,15
53,the questions answered previously referred to mrs de palacio' s intervention on another occasion and not to these comments which appeared in the abc newspaper on 18 november,START_ les questions auxquelles on a répondu précédemment se rapportaient à l'intervention de mme de palacio dans un dossier précis et non aux déclarations parues dans le journal abc du 18 novembre dernier _END,28,34
54,mr berenguer fuster we shall check all this,START_ cher collègue nous allons vérifier tout cela _END,8,9
55,i admit that at present the matter seems to be somewhat confused,START_ je vous avouerai que pour le moment les choses me semblent un petit peu confuses _END,12,17
56,we shall therefore look into it properly to ensure that everything is as it should be,START_ donc nous allons revoir cela très sérieusement pour que tout soit bien en ordre _END,16,16
57,madam president i should like to know if there will be a clear message going out from parliament this week about our discontent over today's decision refusing to renew the arms embargo on indonesia considering that the vast majority in this parliament have endorsed the arms embargo in indonesia in the past,START_ madame la présidente je voudrais savoir si cette semaine le parlement va envoyer un message clair exprimant son mécontentement quant à la décision prise aujourd'hui de refuser de renouveler l'embargo sur les armes à destination de l'indonésie alors que par le passé le parlement a souscrit à une très large majorité à l'embargo sur les armes à destination de l'indonésie _END,52,62
58,today's decision not to renew the embargo is extremely dangerous considering the situation there,START_ la décision d'aujourd'hui de ne pas renouveler l'embargo est extrêmement dangereuse compte tenu de la situation sur place _END,14,20
59,so parliament should send a message since that is the wish of the vast majority,START_ le parlement devrait dès lors envoyer un message en ce sens étant donné qu'une grande majorité des députés le souhaite _END,15,22
60,it is irresponsible of eu member states to refuse to renew the embargo,START_ en refusant de prolonger l'embargo les états membres font preuve d'irresponsabilité _END,13,13
61,as people have said the situation there is extremely volatile,START_ d'aucuns l'ont dit la situation en indonésie est extrêmement explosive _END,10,12
62,there is in fact a risk of a military coup in the future,START_ il y a en réalité un risque de coup d'état _END,13,12
63,we do not know what is happening,START_ nous ne savons pas ce qui se passe _END,7,10
64,so why should eu arms producers profit at the expense of innocent people,START_ pourquoi donc les producteurs d'armes de l'ue devraient-ils s'enrichir sur le dos de personnes innocentes  _END,13,17
65,in any event this question is not presently included among the requests for topical and urgent debate on thursday,START_ en tout cas cette question ne figure pas pour l' instant parmi les demandes d' urgence pour jeudi prochain _END,19,21
66,agenda,START_ ordre des travaux _END,1,5
67,the next item is the verification of the final version of the draft agenda as drawn up by the conference of presidents at its meeting of 13 january pursuant to rule 110 of the rules of procedure,START_ l' ordre du jour appelle l' examen du projet définitif d' ordre du jour tel qu' il a été établi par la conférence des présidents le jeudi 13 janvier conformément à l' article 110 du règlement _END,37,38
68,no amendments have been proposed relating to monday and tuesday,START_ s' agissant de lundi et mardi je n' ai pas de modifications _END,10,14
69,relating to wednesday,START_ en ce qui concerne le mercredi  _END,3,8
70,the group of the party of european socialists requests that a commission statement be included on its strategic objectives for the next five years and on the administrative reform of the commission,START_ le groupe socialiste demande d' inclure une déclaration de la commission sur ses objectifs stratégiques pour les cinq ans à venir ainsi que sur la réforme administrative de la commission _END,32,32
71,i would like mr barón crespo who made the request to speak to propose it that is if he so wishes of course,START_ je souhaiterais que m barón crespo auteur de la demande intervienne pour la justifier s' il le souhaite bien sûr _END,23,22
72,then we shall follow the usual procedure hearing one speaker in favour and one against,START_ puis  nous ferons comme d' habitude  nous entendrons un orateur pour et un orateur contre _END,15,17
